0.50 -0.972972 0.000695959
0.55 -0.955031 0.000680701
0.60 -0.935087 0.000617609
0.65 -0.913661 0.000550466
0.70 -0.891558 0.000473613
0.75 -0.869967 0.000388887
0.80 -0.848125 0.000341601
0.85 -0.826035 0.000302637
0.90 -0.80457 0.000288901
0.95 -0.782729 0.000257341
1.00 -0.761684 0.00024975
1.05 -0.741332 0.000243395
1.10 -0.721204 0.000227718
1.15 -0.701489 0.000193293
1.20 -0.682691 0.000203346
1.25 -0.664447 0.000227778
1.30 -0.6467 0.000224466
1.35 -0.629736 0.000222871
1.40 -0.613568 0.000211341
1.45 -0.597821 0.000200735
1.50 -0.582778 0.000210184
1.55 -0.568453 0.000205232
1.60 -0.554703 0.000204066
1.65 -0.541393 0.000196046
1.70 -0.528526 0.000193929
1.75 -0.516258 0.000180244
1.80 -0.504533 0.000171965
1.85 -0.493346 0.000171706
1.90 -0.482534 0.000170616
1.95 -0.472069 0.000171281
2.00 -0.462078 0.000174856
