0 3.1746 0 
1000 3.0956 0.079006 
2000 3.09254 0.0457166 
3000 3.07355 0.03749 
4000 3.05675 0.0335505 
5000 3.08406 0.0386819 
6000 3.05756 0.0420844 
7000 3.0879 0.0474261 
8000 3.10614 0.0456286 
9000 3.12886 0.0467091 
10000 3.11498 0.0444712 
11000 3.12378 0.0415399 
12000 3.11346 0.0395819 
13000 3.11675 0.0367934 
14000 3.0989 0.0386247 
15000 3.09123 0.0369351 
16000 3.12252 0.0467213 
17000 3.13423 0.0455796 
18000 3.11732 0.0463117 
19000 3.11366 0.0440872 
20000 3.12178 0.0427132 
21000 3.13771 0.0437299 
22000 3.13304 0.0420455 
23000 3.13933 0.0407444 
24000 3.13497 0.0393232 
25000 3.13708 0.0378393 
26000 3.13736 0.036412 
27000 3.13256 0.0354141 
28000 3.13298 0.0341736 
29000 3.14192 0.0342055 
30000 3.15496 0.03556 
31000 3.14578 0.0356334 
32000 3.15849 0.0367996 
33000 3.16171 0.0358458 
34000 3.15835 0.0349683 
35000 3.16051 0.0340519 
36000 3.15813 0.0332047 
37000 3.15404 0.0325759 
38000 3.15575 0.0317755 
39000 3.15737 0.0310133 
40000 3.15892 0.0302868 
41000 3.15394 0.0299731 
42000 3.15549 0.0293088 
43000 3.15111 0.0289673 
44000 3.15097 0.0283166 
45000 3.16123 0.0295356 
46000 3.16598 0.0292868 
47000 3.1604 0.0292064 
48000 3.15948 0.028619 
49000 3.15774 0.0280951 
50000 3.15867 0.0275544 
51000 3.15295 0.0276181 
52000 3.15089 0.0271697 
53000 3.14669 0.0269909 
54000 3.14586 0.0265087 
55000 3.14283 0.0262068 
56000 3.13832 0.0261343 
57000 3.13441 0.0259765 
58000 3.13241 0.0256104 
59000 3.13337 0.0251981 
60000 3.13307 0.0247834 
61000 3.13163 0.0244225 
62000 3.12896 0.0241804 
63000 3.12536 0.0240704 
64000 3.13069 0.0242906 
65000 3.13533 0.0243641 
66000 3.13438 0.0240162 
67000 3.13497 0.0236678 
68000 3.13173 0.0235466 
69000 3.13129 0.023212 
70000 3.12911 0.0229868 
71000 3.12773 0.0227068 
72000 3.12965 0.0224758 
73000 3.12907 0.0221777 
74000 3.12968 0.0218885 
75000 3.13442 0.0221139 
76000 3.13514 0.0218367 
77000 3.13277 0.0216854 
78000 3.13236 0.021413 
79000 3.13074 0.0212053 
80000 3.13452 0.0212792 
81000 3.13694 0.0211575 
82000 3.13686 0.0209012 
83000 3.139 0.0207616 
84000 3.13978 0.0205307 
85000 3.13788 0.0203795 
86000 3.13847 0.0201527 
87000 3.13693 0.0199818 
88000 3.13914 0.0198789 
89000 3.13855 0.0196655 
90000 3.13606 0.019608 
91000 3.13838 0.0195327 
92000 3.13693 0.0193763 
93000 3.13701 0.0191692 
94000 3.13873 0.0190441 
95000 3.13879 0.0188448 
96000 3.14012 0.018697 
97000 3.14333 0.0187808 
98000 3.14261 0.018604 
99000 3.14308 0.0184231 
