0 15.3042 0 3.74137 0 
1000 13.9907 1.31348 3.58727 0.154106 
2000 14.9082 1.19029 4.23573 0.654544 
3000 14.9218 0.841773 5.30549 1.16559 
4000 13.5528 1.51632 5.90315 1.08275 
5000 12.711 1.49714 5.65479 0.91829 
6000 13.5203 1.502 5.17402 0.912943 
7000 14.1838 1.46021 4.71872 0.912356 
8000 14.1531 1.28815 4.75346 0.805372 
9000 13.8261 1.19767 5.17602 0.835137 
10000 13.557 1.11624 5.66846 0.901742 
11000 14.7153 1.54271 5.46802 0.847225 
12000 15.1411 1.48158 5.23402 0.813706 
13000 15.531 1.42602 5.09974 0.76522 
14000 15.1597 1.37849 5.6511 0.900824 
15000 14.9342 1.30903 5.509 0.854541 
16000 14.2487 1.4078 5.9684 0.924865 
17000 14.7528 1.41979 5.98145 0.872069 
18000 14.8694 1.34804 5.92364 0.826918 
19000 14.6117 1.30456 5.85361 0.787603 
20000 14.6329 1.24107 5.79638 0.751342 
21000 14.5964 1.18387 5.63016 0.735408 
22000 14.3006 1.16925 5.73007 0.709774 
23000 14.0774 1.14152 5.72848 0.679559 
24000 14.2724 1.11213 5.72289 0.651834 
25000 14.2101 1.07032 5.60863 0.6366 
26000 14.4479 1.05701 5.4913 0.623704 
27000 14.5424 1.02294 5.36042 0.615102 
28000 14.7559 1.00987 5.34018 0.593858 
29000 14.7426 0.975719 5.39532 0.576365 
30000 14.5699 0.959393 5.4058 0.557561 
31000 14.7253 0.941828 5.35139 0.542591 
32000 14.5501 0.929491 5.33341 0.5262 
33000 14.6124 0.903888 5.28092 0.51318 
34000 14.538 0.880836 5.17579 0.509271 
35000 14.2462 0.904367 5.28779 0.507435 
36000 14.2471 0.879585 5.22189 0.49791 
37000 14.3893 0.867856 5.16347 0.488137 
38000 14.4587 0.848154 5.16165 0.47546 
39000 14.3858 0.829884 5.12786 0.464651 
40000 14.249 0.820867 5.11519 0.453354 
41000 14.4453 0.824783 5.10798 0.442486 
42000 14.5561 0.81295 5.07183 0.433583 
43000 14.6951 0.806339 4.99579 0.430385 
44000 14.5706 0.797993 5.07985 0.429028 
45000 14.3459 0.812142 5.17666 0.430619 
46000 14.2367 0.802152 5.20369 0.422224 
47000 14.1685 0.788217 5.20053 0.413346 
48000 13.995 0.791211 5.18137 0.405276 
49000 14.0276 0.775912 5.15116 0.398235 
50000 14.0948 0.763505 5.12258 0.391394 
51000 14.1555 0.751131 5.13127 0.383891 
52000 14.17 0.736966 5.16689 0.37826 
53000 14.1386 0.72387 5.184 0.371583 
54000 14.2081 0.71397 5.19827 0.365043 
55000 14.0124 0.727887 5.26057 0.363839 
56000 14.2035 0.740085 5.31241 0.36114 
57000 14.1694 0.72801 5.30374 0.354965 
58000 14.295 0.726503 5.23065 0.35647 
59000 14.2468 0.715916 5.32759 0.363637 
60000 14.1619 0.709184 5.35478 0.358659 
61000 14.2226 0.700285 5.33788 0.353231 
62000 14.2359 0.689209 5.32536 0.347804 
63000 14.3258 0.684287 5.27037 0.346716 
64000 14.5054 0.697201 5.23298 0.343381 
65000 14.4363 0.690029 5.28089 0.341515 
66000 14.5069 0.68331 5.26973 0.336564 
67000 14.5315 0.673636 5.28957 0.33217 
68000 14.5628 0.664539 5.25795 0.328844 
69000 14.5679 0.654998 5.26825 0.324276 
70000 14.6517 0.651111 5.26511 0.319691 
71000 14.8472 0.671116 5.20145 0.321585 
72000 14.9623 0.671804 5.17434 0.318305 
73000 14.9647 0.662668 5.13805 0.316065 
74000 14.9598 0.653791 5.11188 0.312919 
75000 15.0092 0.64702 5.11548 0.308795 
76000 15.0353 0.639096 5.10718 0.304871 
77000 15.1771 0.646598 5.07088 0.303118 
78000 15.1359 0.639694 5.05891 0.299496 
79000 15.1235 0.631768 5.0907 0.297433 
80000 15.0932 0.624653 5.09829 0.293836 
81000 15.0555 0.618139 5.13161 0.292137 
82000 15.0121 0.612191 5.12379 0.288702 
83000 14.9655 0.60665 5.14592 0.286101 
84000 14.8734 0.606502 5.15657 0.282916 
85000 14.8194 0.601835 5.15468 0.279613 
86000 14.7276 0.601929 5.19052 0.278695 
87000 14.7206 0.59509 5.15686 0.277559 
88000 14.7516 0.589183 5.15041 0.274498 
89000 14.6814 0.586814 5.1403 0.27162 
90000 14.6026 0.585651 5.18533 0.272366 
91000 14.5416 0.582461 5.17064 0.26979 
92000 14.5724 0.576988 5.19901 0.268376 
93000 14.6003 0.571501 5.19686 0.265514 
94000 14.7029 0.574678 5.14886 0.267054 
95000 14.771 0.57273 5.12776 0.265098 
96000 14.8971 0.580651 5.10882 0.263034 
97000 14.8714 0.575271 5.10691 0.260343 
98000 14.815 0.572215 5.11134 0.257738 
99000 14.7936 0.566869 5.20957 0.273403 
